social_network,outbound_post,status,account,account_type,author_name,campaign_name,permalink,scheduledtime,publishedtime,tags,published_date,day_of_week,time_of_day,events_outbound_message,media_format_outbound_message,related_product_outbound_message,msft_learn_product_program_outbound_message,c_641deea526668532c520df4c,msft_learn_content_owner_outbound_message,msft_learn_primary_audience_outbound_message,primary_objective_outbound_message,media_type,permalink_1,account_1,msft_learn_approvers_outbound_message,gdc_impressions_sum,gdc_total_engagements_sum,post_likes_and_reactions_sum,post_comments_sum,post_shares_sum,estimated_clicks_sum,gdc_total_engagement_views_sum,count_of_positive_comments_sum,count_of_neutral_comments_sum,count_of_negative_comments_sum,followers_at_post_time_sum,instagram_business_post_impressions_sum,x_poll_votes_sum,stories_alcance,stories_visitas_perfil,stories_navegacao,stories_seguimentos
X,"Before astronauts launched, someone had to solve the math. Katherine Johnson’s calculations helped send humans into space. Drop a 🚀 if her story inspires you. #WomensHistoryMonth #WomenInTech #ThenNowWhatsNext",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | Women in Tech (Universal),https://twitter.com/MicrosoftLearn/status/2032084722902339690,2026-03-12 09:21:48,2026-03-12 09:22:07,,03-12-2026 09:22,Thursday,09:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,Women In Tech,,Video,https://twitter.com/MicrosoftLearn/status/2032084722902339690,Microsoft Learn,,2703,17,16,0,1,0,912,0,0,0,482371,0,,,,,
Threads,A haunted house but it’s the course you saved but never started knocking on every door.,SENT,microsoftlearn,THREADS,SprinklrSystem ,[Auto Import] (Universal),https://www.threads.com/@microsoftlearn/post/DQfJkAyEran,2025-10-31 16:17:01,2025-10-31 16:17:01,,10-31-2025 16:17,Friday,16:00,, , ,, ,,,,Text,https://www.threads.com/@microsoftlearn/post/DQfJkAyEran,microsoftlearn,,2710,20,9,6,4,0,20,0,5,1,2859,0,,,,,
Instagram,"Midterms are around the corner... 
And higher ed faculty are feeling it too.
See how Copilot can help create review sessions, practice questions and even test simulations, all from one prompt.",SENT,microsoftlearn,INSTAGRAM,Emma Casey,Social: Broadcast (21),https://www.instagram.com/reel/DPpeMGIDYND/,2025-10-11 09:00:04,2025-10-11 09:00:04,,10-11-2025 09:00,Saturday,09:00,, , ,Copilot, ,MSFT Learn | Agency (Dojo) created,NextGen,,Video,https://www.instagram.com/reel/DPpeMGIDYND/,microsoftlearn,,2712,58,41,1,10,0,2770,0,1,0,71970,0,,,,,
X,"Need to communicate technical ideas to teams with different skill levels? 
Copilot can help you translate complex product details into plain language your marketing, sales, or leadership teams can use. 

Try this prompt: 
“Explain how this product feature solves customer pain points or drives ROI.”",SENT,Microsoft Learn,TWITTER,SprinklrSystem ,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/2008637796161073306,2026-01-06 15:32:23,2026-01-06 15:32:23,,01-06-2026 15:32,Tuesday,15:00,, , ,Copilot, ,MSFT Learn | Microsoft created,Biz User,,Text,https://twitter.com/MicrosoftLearn/status/2008637796161073306,Microsoft Learn,,2712,24,21,1,2,0,24,1,0,0,477649,0,,,,,
X,"Every team has a workflow that’s embarrassingly manual compared to everything else they’ve built.
The legacy runbooks that ""work fine"" always seem to stick around.
What’s the one workflow you can’t seem to automate?",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/2039757254568628464,2026-04-02 13:30:00,2026-04-02 13:30:01,,04-02-2026 13:30,Thursday,13:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://twitter.com/MicrosoftLearn/status/2039757254568628464,Microsoft Learn,,2727,35,28,2,5,0,35,0,2,0,483810,0,,,,,
X,"Stop asking for permission. Start building.

Read more on how Alfredo, VP of Revenue Strategy at Microsoft, reframes vibe coding: empower people closest to the work to move, test, and learn faster—without waiting on perfect conditions.

https://aka.ms/StopAskingPermissionStartBuilding",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | Executives (Universal),https://twitter.com/MicrosoftLearn/status/2039829649979486606,2026-04-02 18:17:39,2026-04-02 18:17:41,,04-02-2026 18:17,Thursday,18:00,, , ,Blog, ,MSFT Learn | Microsoft created,Decision Maker/Executive,,Photo,https://twitter.com/MicrosoftLearn/status/2039829649979486606,Microsoft Learn,,2729,82,49,1,12,46,82,1,0,0,483810,0,,,,,
X,"When DAX errors pop up, check your context, not your formula.
👉 Row vs. filter context makes all the difference. ",SENT,Microsoft Learn,TWITTER,Emma Casey,Social: Broadcast (21),https://twitter.com/MicrosoftLearn/status/1988290628334063988,2025-11-11 12:00:01,2025-11-11 12:00:01,,11-11-2025 12:00,Tuesday,12:00,, , ,Microsoft Applied Skills, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://twitter.com/MicrosoftLearn/status/1988290628334063988,Microsoft Learn,,2731,17,15,1,1,0,17,0,0,1,483095,0,,,,,
Instagram,"This month we highlighted women who didn't just enter the room, they rebuilt it.
We're closing out with Cynthia Dwork, whose work in differential privacy made AI smarter AND safer.

Tag a woman in tech who deserves her own spotlight. We're listening. 👇
#WomenInAI #ResponsibleAI #WomenInTech",SENT,microsoftlearn,INSTAGRAM,Emma Casey,MSFT Learn | Women in Tech (Universal),https://www.instagram.com/reel/DWhcYmpjCnk/,2026-03-30 17:30:00,2026-03-30 17:30:10,,03-30-2026 17:30,Monday,17:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,Women In Tech,,Video,https://www.instagram.com/reel/DWhcYmpjCnk/,microsoftlearn,,2737,75,59,0,7,0,2812,0,0,0,121586,0,,,,,
X,"AI skills matter for everyone in higher ed—students, faculty, campus leaders, and operational teams.
See how Microsoft is partnering with colleges and universities to provide campus-wide AI learning at no cost, foster student communities, and bring industry-recognized credentials into the classroom. 
Read more: https://aka.ms/SkillingHigherEdBlog_x",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | OBO (Universal),https://twitter.com/MicrosoftLearn/status/2011880465217528287,2026-01-15 14:17:35,2026-01-15 14:17:36,,01-15-2026 14:17,Thursday,14:00,, , ,Blog, ,MSFT Learn | Microsoft created,NextGen,,Photo,https://twitter.com/MicrosoftLearn/status/2011880465217528287,Microsoft Learn,Thought Leadership Approver Group,2740,34,25,4,5,66,34,2,2,0,477719,0,,,,,
X,"💡 Use these 4 prompt ingredients for a sharper output:
1. Goal → Start with what you want the Generative AI assistant, aka Copilot, to do
2. Source → Share where you want to look for the information
3. Context → Add extra information to make the answer more useful
4. Expectations → Say what kind of answer you want
aaand voila, you're welcome 🔥 ",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/2002031166539395542,2025-12-19 10:00:00,2025-12-19 10:00:00,,12-19-2025 10:00,Friday,10:00,, , ,Copilot, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://twitter.com/MicrosoftLearn/status/2002031166539395542,Microsoft Learn,,2742,33,24,3,6,0,33,2,1,0,477452,0,,,,,
Instagram,"Your stories deserve to live beyond their years. With GitHub and Azure Foundry, your memories meet digital preservation and technology keeps history alive. 
👉 Learn more with us at GitHub Universe Oct 28-29 (link in bio).",SENT,microsoftlearn,INSTAGRAM,SprinklrSystem ,[Auto Import] (Universal),https://www.instagram.com/reel/DQU8D0mkqN-/,2025-10-27 17:11:35,2025-10-27 17:11:35,,10-27-2025 17:11,Monday,17:00,, , ,, ,,,,Video,https://www.instagram.com/reel/DQU8D0mkqN-/,microsoftlearn,,2744,57,48,5,1,0,2801,2,3,0,78707,0,,,,,
X,"🧰 Fresh goals are on the horizon. What skill are you adding to your toolbox before the clock strikes midnight on December 31st?

Drop it in the comments!",SENT,Microsoft Learn,TWITTER,Helena Freitas,Z_MSFT Learn | Editorial  (Universal),https://twitter.com/MicrosoftLearn/status/1973417626362679668,2025-10-01 12:00:00,2025-10-01 12:00:01,,10-01-2025 12:00,Wednesday,12:00,, , ,, ,MSFT Learn | Agency (Dojo) created,General,,Photo,https://twitter.com/MicrosoftLearn/status/1973417626362679668,Microsoft Learn,Gita Sharma Approver Group,2753,27,19,1,6,0,27,0,1,0,484607,0,,,,,
IG Stories,This message has no text.,SENT,microsoftlearn,INSTAGRAM,SprinklrSystem ,MSFT Learn | OBO (Universal),https://www.instagram.com/stories/microsoftlearn/3821497940159311551,2026-01-30 08:01:12,2026-01-30 08:01:12,,01-30-2026 08:01,Friday,08:00,, , ,Learn for Organizations, ,MSFT Learn | Microsoft created,Biz User,,Photo,https://www.instagram.com/stories/microsoftlearn/3821497940159311551,microsoftlearn,Channel Partners Approver Group,2774,1598,22,0,0,0,1598,0,0,0,114873,2344,,2344.0,17.0,2493.0,0.0
X,"Ready to level up? Complete the challenge, join the Migrate and Modernize Foundation VTD & master migration skills. Earn badges, climb leaderboards & win vouchers: https://aka.ms/MigrateModernize2026?wt.mc_id=migrateandmodernizesummit_skillinglandingpage2026_1pevents_azuremktg",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | OBO (Universal),https://twitter.com/MicrosoftLearn/status/2034766870100709687,2026-03-19 19:00:00,2026-03-19 19:00:00,,03-19-2026 19:00,Thursday,19:00,, , ,Microsoft Certifications, ,MSFT Learn | Microsoft created,IT Pro,,Photo,https://twitter.com/MicrosoftLearn/status/2034766870100709687,Microsoft Learn,Other,2787,99,42,3,8,67,99,1,2,0,483316,0,,,,,
Instagram,"Ready to future-proof your career? 💪 Map your strategy, plan your next move, and chase your goals with confidence.

What skill or tool is your next power play?",SENT,microsoftlearn,INSTAGRAM,Emily Doyen,Z_MSFT Learn | Editorial  (Universal),https://www.instagram.com/reel/DOWOCNYjiuM/,2025-09-08 12:00:34,2025-09-08 12:00:34,,09-08-2025 12:00,Monday,12:00,, , ,Copilot, ,MSFT Learn | Agency (Dojo) created,General,,Video,https://www.instagram.com/reel/DOWOCNYjiuM/,microsoftlearn,Gita Sharma Approver Group,2808,72,57,1,7,0,2880,0,1,0,59681,0,,,,,
X,"New to DAX? Start simple before diving into complex formulas.
Small steps build powerful insights. 💡",SENT,Microsoft Learn,TWITTER,Emma Casey,Social: Broadcast (21),https://twitter.com/MicrosoftLearn/status/1986812886367232195,2025-11-07 10:07:58,2025-11-07 10:08:00,,11-07-2025 10:08,Friday,10:00,, , ,Microsoft Certifications, ,MSFT Learn | Agency (Dojo) created,Developer,,Photo,https://twitter.com/MicrosoftLearn/status/1986812886367232195,Microsoft Learn,,2808,22,19,2,1,0,22,0,2,0,482947,0,,,,,
X,"Breaking news for builders: If you missed GitHub Universe, you can still catch up on the latest news and start that new project you've been thinking about. 
👉 Start learning today: learn.github.com/skills#Copilot",SENT,Microsoft Learn,TWITTER,Emma Casey,Social: Broadcast (21),https://twitter.com/MicrosoftLearn/status/1982945407412973860,2025-10-27 19:00:00,2025-10-27 19:00:01,,10-27-2025 19:00,Monday,19:00,, , ,Microsoft Learn Community, ,MSFT Learn | Agency (Dojo) created,Developer,,Photo,https://twitter.com/MicrosoftLearn/status/1982945407412973860,Microsoft Learn,,2811,35,15,0,1,37,35,0,0,0,484328,0,,,,,
X,When do you usually find time to learn new skills or work toward certifications? ✏️,SENT,Microsoft Learn,TWITTER,Marlon Zanatti,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/2018367885328924940,2026-02-02 11:56:17,2026-02-02 11:56:18,,02-02-2026 11:56,Monday,11:00,, , ,Microsoft Certifications, ,MSFT Learn | Microsoft created,General,,Poll,https://twitter.com/MicrosoftLearn/status/2018367885328924940,Microsoft Learn,,2815,23,15,5,3,0,23,1,2,2,478034,0,,,,,
X,The systems we rely on today didn’t appear overnight they were built by pioneers. This Women’s History Month we’re spotlighting women whose ideas shaped modern technology. Follow along and share a woman in tech who inspires you. #WomensHistoryMonth #WomenInTech #ThenNowWhatsNext,SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | Women in Tech (Universal),https://twitter.com/MicrosoftLearn/status/2030010329116155950,2026-03-06 14:58:47,2026-03-06 14:59:13,,03-06-2026 14:59,Friday,14:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,Women In Tech,,Video,https://twitter.com/MicrosoftLearn/status/2030010329116155950,Microsoft Learn,,3589,63,54,0,5,0,3085,0,0,0,481153,0,,,,,
X,"No need to stress, Microsoft Credentials help you build and prove your expertise.

Explore Security focused Certifications and Applied Skills → https://learn.microsoft.com/en-us/credentials/browse/?subjects=security?wt.mc_id=certifications_x_organicsocial_wwl
",SENT,Microsoft Learn,TWITTER,Emma Casey,Social: Broadcast (21),https://twitter.com/MicrosoftLearn/status/1973825310580711836,2025-10-02 15:00:00,2025-10-02 15:00:00,,10-02-2025 15:00,Thursday,15:00,, , ,Credentials, ,MSFT Learn | Agency (Dojo) created,* (Deprecated)IT Professional,,Photo,https://twitter.com/MicrosoftLearn/status/1973825310580711836,Microsoft Learn,,2836,56,20,1,4,41,56,1,0,0,484673,0,,,,,
X,"New certifications just dropped. Level up with AI, Copilot and agent-focused credentials. Plus, a refreshed fundamentals portfolio to support every step of your learning journey.

Explore what’s new → https://techcommunity.microsoft.com/blog/microsoftlearnblog/certifications-refresh-ai-focused-and-fundamentals-updates/4446638 ",SENT,Microsoft Learn,TWITTER,Emma Casey,Social: Broadcast (21),https://twitter.com/MicrosoftLearn/status/1973493120948936865,2025-10-01 17:00:00,2025-10-01 17:00:00,,10-01-2025 17:00,Wednesday,17:00,, , ,Microsoft Certifications, ,MSFT Learn | Microsoft created,General,,Photo,https://twitter.com/MicrosoftLearn/status/1973493120948936865,Microsoft Learn,,2897,154,26,0,5,157,154,0,0,0,484607,0,,,,,
X,"AI answers are only as good as the docs behind them. 
Microsoft MVP Luke Murray (@lukemurraynz) shows how to connect Semantic Kernel to the Microsoft Learn MCP Server so AI apps pull live, trusted Microsoft docs in real time. No scraping. No stale data. 

Read Luke's blog post here: https://t.co/p8dHkeQ418",SENT,Microsoft Learn,TWITTER,SprinklrSystem ,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/2010735794986627248,2026-01-12 10:29:05,2026-01-12 10:29:05,,01-12-2026 10:29,Monday,10:00,, , ,Blog, ,MSFT Learn | Microsoft created,Developer,,Link,https://twitter.com/MicrosoftLearn/status/2010735794986627248,Microsoft Learn,,2904,40,28,5,5,0,40,3,2,0,477696,0,,,,,
X,Copilot tip: Complex question? Try a deeper Thinking Mode for a better answer. 💡,SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/2035038660932808772,2026-03-20 13:00:00,2026-03-20 13:00:00,,03-20-2026 13:00,Friday,13:00,, , ,Copilot, ,MSFT Learn | Microsoft created,Biz User,,Photo,https://twitter.com/MicrosoftLearn/status/2035038660932808772,Microsoft Learn,,2904,66,55,6,1,0,66,4,1,1,483384,0,,,,,
IG Stories,This message has no text.,SENT,microsoftlearn,INSTAGRAM,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.instagram.com/stories/microsoftlearn/3854143087174439260,2026-03-16 10:01:20,2026-03-16 10:01:20,,03-16-2026 10:01,Monday,10:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,NextGen,,Photo,https://www.instagram.com/stories/microsoftlearn/3854143087174439260,microsoftlearn,,2987,1624,50,4,5,0,1624,0,0,0,119672,2404,,2376.0,20.0,2572.0,0.0
Instagram,"We don’t make the rules. If you landed on a credential, that’s your sign. What’d you get?",SENT,microsoftlearn,INSTAGRAM,Emma Casey,MSFT Learn | AON (Universal),https://www.instagram.com/reel/DWCDtumDwOe/,2026-03-19 09:00:00,2026-03-19 09:00:11,,03-19-2026 09:00,Thursday,09:00,, , ,Microsoft Certifications, ,MSFT Learn | Agency (Dojo) created,General,,Video,https://www.instagram.com/reel/DWCDtumDwOe/,microsoftlearn,,2934,86,54,19,2,0,3020,3,16,0,119937,0,,,,,
Threads,"Before you dive into mastering CALCULATE in DAX, get comfortable with the essentials: 

→ SUM 
→ COUNT 
→ AVERAGE

💡Excel handles data, DAX understands it.",SENT,microsoftlearn,THREADS,Emma Casey,Social: Broadcast (21),https://www.threads.com/@microsoftlearn/post/DQpay-ujFrC,2025-11-04 15:00:00,2025-11-04 15:00:20,,11-04-2025 15:00,Tuesday,15:00,, , ,Microsoft Certifications, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://www.threads.com/@microsoftlearn/post/DQpay-ujFrC,microsoftlearn,,2937,5,1,4,0,0,5,0,4,0,3548,0,,,,,
Instagram,"Midterms coming up? These students aren’t stressing, they’ve got Copilot helping them plan the perfect study schedule.",SENT,microsoftlearn,INSTAGRAM,Emma Casey,Social: Broadcast (21),https://www.instagram.com/reel/DP7VqTnCb5s/,2025-10-17 18:30:36,2025-10-17 18:30:36,,10-17-2025 18:30,Friday,18:00,, , ,AI, ,MSFT Learn | Agency (Dojo) created,NextGen,,Video,https://www.instagram.com/reel/DP7VqTnCb5s/,microsoftlearn,,2940,64,53,2,7,0,3004,1,1,0,74084,0,,,,,
X,"Studying for the GitHub Copilot certification?
Prompts that explain why you need something outperform ones that just say what you need.
👉 Example: “Write a function that logs errors to improve debugging.”",SENT,Microsoft Learn,TWITTER,Emma Casey,Social: Broadcast (21),https://twitter.com/MicrosoftLearn/status/1986841073264525589,2025-11-07 12:00:00,2025-11-07 12:00:00,,11-07-2025 12:00,Friday,12:00,, , ,Copilot, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://twitter.com/MicrosoftLearn/status/1986841073264525589,Microsoft Learn,,2942,29,25,2,2,0,29,1,1,0,482947,0,,,,,
Threads,"Copilot tip of the day: 
Want a cleaner output? Use formatting cues.
Instead of: “Summarize this article.” Try: “Summarize this article in 3 bullet points with bolded keywords.”
Copilot follows your structure!",SENT,microsoftlearn,THREADS,Emma Casey,Social: Broadcast (21),https://www.threads.com/@microsoftlearn/post/DQzZYImjRo9,2025-11-08 12:00:00,2025-11-08 12:00:23,,11-08-2025 12:00,Saturday,12:00,, , ,Microsoft Applied Skills, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://www.threads.com/@microsoftlearn/post/DQzZYImjRo9,microsoftlearn,,2951,59,51,4,3,0,59,3,1,0,5133,0,,,,,
Instagram,Every path starts with curiosity. Where will yours begin?,SENT,microsoftlearn,INSTAGRAM,SprinklrSystem ,[Auto Import] (Universal),https://www.instagram.com/reel/DQby3LTjEU0/,2025-10-30 09:00:00,2025-10-30 09:00:00,,10-30-2025 09:00,Thursday,09:00,, , ,, ,,,,Video,https://www.instagram.com/reel/DQby3LTjEU0/,microsoftlearn,,2971,63,55,1,3,0,3034,0,1,0,81539,0,,,,,
X,"Day 1 at SXSW EDU: two things dominated the conversation.

• Clearer career pathways for students
• Preparing graduates for an AI-shaped workforce

Students will be expected to lead with AI. https://t.co/ychAbplHmf",SENT,Microsoft Learn,TWITTER,SprinklrSystem ,MSFT Learn | Next Gen (Universal),https://twitter.com/MicrosoftLearn/status/2031158939694367002,2026-03-09 20:03:22,2026-03-09 20:03:22,,03-09-2026 20:03,Monday,20:00,, , ,Other, ,MSFT Learn | Microsoft created,NextGen,,Video,https://twitter.com/MicrosoftLearn/status/2031158939694367002,Microsoft Learn,,2994,27,22,3,1,0,865,2,0,1,481274,0,,,,,
Instagram,Cloud models… but make it make sense. ☁️,SENT,microsoftlearn,INSTAGRAM,Emma Casey,MSFT Learn | AON (Universal),https://www.instagram.com/reel/DU7HKJeFdEX/,2026-02-19 12:00:03,2026-02-19 12:00:03,,02-19-2026 12:00,Thursday,12:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,General,,Video,https://www.instagram.com/reel/DU7HKJeFdEX/,microsoftlearn,,3008,75,55,5,6,0,3083,2,3,0,115478,0,,,,,
X,"Week 2 of the Microsoft Credentials AI Challenge is live! 
Build AI skills and get 50% off your next certification exam (18+, ends 3/2). 👇 
https://learn.microsoft.com/en-us/credentials/microsoft-credentials-ai-challenge?wt.mc_id=credentials_AIChallenge_organicsocial_wwl_x 

What info should you give Copilot in Word to help it deliver more accurate insights and stronger writing tips? ",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | OBO (Universal),https://twitter.com/MicrosoftLearn/status/2017296756162060728,2026-01-30 13:00:00,2026-01-30 13:00:01,,01-30-2026 13:00,Friday,13:00,, , ,AI Skills Challenge, ,MSFT Learn | Microsoft created,General,,Poll,https://twitter.com/MicrosoftLearn/status/2017296756162060728,Microsoft Learn,Credentials Approver Group,3009,104,32,0,5,133,104,0,0,0,478054,0,,,,,
X,"Think email security is just spam filters? It goes beyond that. 
Spam filters catch the obvious, but phishing emails and malware are designed to look real and slip through. 
But if you follow the steps below, you will not fall for it 👇 ",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/1996343554017296472,2025-12-03 17:19:27,2025-12-03 17:19:28,,12-03-2025 17:19,Wednesday,17:00,, , ,Other, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://twitter.com/MicrosoftLearn/status/1996343554017296472,Microsoft Learn,,3012,16,13,2,1,0,16,1,1,0,477471,0,,,,,
Instagram,Your learning playlists just got an upgrade. Ready to hit play? ✨,SENT,microsoftlearn,INSTAGRAM,Emma Casey,MSFT Learn | Ignite (Universal),https://www.instagram.com/reel/DREyGlTAJdC/,2025-11-15 13:00:07,2025-11-15 13:00:07,,11-15-2025 13:00,Saturday,13:00,, , ,Other, ,MSFT Learn | Agency (Dojo) created,IT Pro,,Video,https://www.instagram.com/reel/DREyGlTAJdC/,microsoftlearn,,3015,87,74,3,3,0,3102,0,2,1,86763,0,,,,,
Threads,"Unfortunately, my body doesn’t know the difference between fixing a bug and being told my pull request doesn’t work.",SENT,microsoftlearn,THREADS,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DVqsOCyDZxV,2026-03-09 10:28:28,2026-03-09 10:28:28,,03-09-2026 10:28,Monday,10:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,Developer,,Text,https://www.threads.com/@microsoftlearn/post/DVqsOCyDZxV,microsoftlearn,,3050,24,19,1,4,0,24,0,0,1,13840,0,,,,,
Threads,We all start somewhere. The people ahead of you were beginners once too. Keep going!,SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DVG4JdDEVlE,2026-02-23 11:40:02,2026-02-23 11:40:23,,02-23-2026 11:40,Monday,11:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://www.threads.com/@microsoftlearn/post/DVG4JdDEVlE,microsoftlearn,,3059,42,34,6,2,0,42,2,4,0,13471,0,,,,,
X,"As we wrap up this week of customer voices, we celebrate every organization building for tomorrow. Icertis is leading the way with unified, future-focused learning. We love our customers—and we love helping them skill their teams for what’s next!",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/1997063433343173029,2025-12-05 17:00:00,2025-12-05 17:00:01,,12-05-2025 17:00,Friday,17:00,, , ,AI Skills Navigator (AISN), ,MSFT Learn | Microsoft created,General,,Photo,https://twitter.com/MicrosoftLearn/status/1997063433343173029,Microsoft Learn,,3089,35,27,4,4,0,35,2,1,1,477503,0,,,,,
Instagram,"Start a podcast, pause it, start it back up whenever. AI Skills Navigator fits into your day.",SENT,microsoftlearn,INSTAGRAM,Emma Casey,MSFT Learn | AON (Universal),https://www.instagram.com/reel/DVyb-e5iDyj/,2026-03-12 12:00:21,2026-03-12 12:00:21,,03-12-2026 12:00,Thursday,12:00,, , ,AI Skills Navigator (AISN), ,MSFT Learn | Agency (Dojo) created,General,,Video,https://www.instagram.com/reel/DVyb-e5iDyj/,microsoftlearn,,3116,96,62,10,14,0,3212,7,3,0,119170,0,,,,,
LinkedIn,"Join Alex Lowe from Microsoft Learn Labs and Andrew Murray from LSE as they explore how organizations can adopt AI responsibly—balancing innovation with regulation.
🗓October 9, 2025 | 10 a.m. EST / 3 p.m. BST
🔗https://lnkd.in/g2_v54Z4",SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,[Auto Import] (Universal),https://www.linkedin.com/feed/update/urn:li:share:7381387780184199168,2025-10-07 13:59:46,2025-10-07 13:59:46,,10-07-2025 13:59,Tuesday,13:00,, , ,, ,,,,Link,https://www.linkedin.com/feed/update/urn:li:share:7381387780184199168,Microsoft Learn,,3131,71,15,1,1,0,71,0,1,0,965654,0,,,,,
X,Who else is easing back into focus one lesson at a time?,SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/2020996133246427298,2026-02-09 18:00:00,2026-02-09 18:00:01,,02-09-2026 18:00,Monday,18:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://twitter.com/MicrosoftLearn/status/2020996133246427298,Microsoft Learn,,3133,64,53,4,6,0,64,2,1,1,479074,0,,,,,
X,"Going live soon 🎉
Join us on Instagram at 6pm PST/8pm CST/9pm EST to learn how AI can help you stand out in your next application. “From campus to career with AI” starts shortly.",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | Next Gen (Universal),https://twitter.com/MicrosoftLearn/status/2001396989460652217,2025-12-17 16:00:00,2025-12-17 16:00:01,,12-17-2025 16:00,Wednesday,16:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,NextGen,,Text,https://twitter.com/MicrosoftLearn/status/2001396989460652217,Microsoft Learn,,3134,17,14,0,3,0,17,0,0,0,477393,0,,,,,
X,"Quick check-in: which one feels most true for you right now?
“AI is my new...”",SENT,Microsoft Learn,TWITTER,Emma Casey,Social: Broadcast (21),https://twitter.com/MicrosoftLearn/status/1969793776244699397,2025-09-21 12:00:00,2025-09-21 12:00:08,,09-21-2025 12:00,Sunday,12:00,, , ,AI, ,MSFT Learn | Agency (Dojo) created,NextGen,,Poll,https://twitter.com/MicrosoftLearn/status/1969793776244699397,Microsoft Learn,Nextgen Approver Group,3175,6,5,0,1,0,6,0,0,0,484699,0,,,,,
Threads,"DAX feels tough? Start small.
Try COUNTROWS(FILTER(Table, Condition)) → it's your shortcut to unlocking powerful insights fast.",SENT,microsoftlearn,THREADS,SprinklrSystem ,[Auto Import] (Universal),https://www.threads.com/@microsoftlearn/post/DQj9rnkie-H,2025-11-02 12:09:24,2025-11-02 12:09:24,,11-02-2025 12:09,Sunday,12:00,, , ,, ,,,,Text,https://www.threads.com/@microsoftlearn/post/DQj9rnkie-H,microsoftlearn,,3185,5,0,1,4,0,5,1,0,0,3145,0,,,,,
X,"🚀 The future of coding begins at GitHub Universe Day 1.

Innovation meets learning.

With @MicrosoftLearn you can:
• Learn from AI + GitHub keynotes
• See workflows in action
• Join hands-on labs
• Earn certifications",SENT,Microsoft Learn,TWITTER,SprinklrSystem ,[Auto Import] (Universal),https://twitter.com/MicrosoftLearn/status/1983248180793037080,2025-10-28 15:03:07,2025-10-28 15:03:07,,10-28-2025 15:03,Tuesday,15:00,, , ,, ,,,,Text,https://twitter.com/MicrosoftLearn/status/1983248180793037080,Microsoft Learn,,3187,40,30,2,8,0,40,0,2,0,484354,0,,,,,
